((:INPUT 0.0d0 :TARGET 0.0d0)
(:INPUT 0.1d0 :TARGET 0.09983341664682815d0)
(:INPUT 0.2d0 :TARGET 0.19866933079506122d0)
(:INPUT 0.30000000000000004d0 :TARGET 0.2955202066613396d0)
(:INPUT 0.4d0 :TARGET 0.3894183423086505d0)
(:INPUT 0.5d0 :TARGET 0.479425538604203d0)
(:INPUT 0.6d0 :TARGET 0.5646424733950354d0)
(:INPUT 0.7d0 :TARGET 0.644217687237691d0)
(:INPUT 0.7999999999999999d0 :TARGET 0.7173560908995227d0)
(:INPUT 0.8999999999999999d0 :TARGET 0.7833269096274833d0)
(:INPUT 0.9999999999999999d0 :TARGET 0.8414709848078964d0)
(:INPUT 1.0999999999999999d0 :TARGET 0.8912073600614353d0)
(:INPUT 1.2d0 :TARGET 0.9320390859672263d0)
(:INPUT 1.3d0 :TARGET 0.963558185417193d0)
(:INPUT 1.4000000000000001d0 :TARGET 0.9854497299884603d0)
(:INPUT 1.5000000000000002d0 :TARGET 0.9974949866040544d0)
(:INPUT 1.6000000000000003d0 :TARGET 0.9995736030415051d0)
(:INPUT 1.7000000000000004d0 :TARGET 0.9916648104524686d0)
(:INPUT 1.8000000000000005d0 :TARGET 0.973847630878195d0)
(:INPUT 1.9000000000000006d0 :TARGET 0.9463000876874142d0)
(:INPUT 2.0000000000000004d0 :TARGET 0.9092974268256815d0)
(:INPUT 2.1000000000000005d0 :TARGET 0.8632093666488735d0)
(:INPUT 2.2000000000000006d0 :TARGET 0.8084964038195899d0)
(:INPUT 2.3000000000000007d0 :TARGET 0.7457052121767197d0)
(:INPUT 2.400000000000001d0 :TARGET 0.6754631805511503d0)
(:INPUT 2.500000000000001d0 :TARGET 0.5984721441039558d0)
(:INPUT 2.600000000000001d0 :TARGET 0.5155013718214634d0)
(:INPUT 2.700000000000001d0 :TARGET 0.42737988023382895d0)
(:INPUT 2.800000000000001d0 :TARGET 0.33498815015590383d0)
(:INPUT 2.9000000000000012d0 :TARGET 0.23924932921398112d0)
(:INPUT 3.0000000000000013d0 :TARGET 0.1411200080598659d0)
(:INPUT 3.1000000000000014d0 :TARGET 0.04158066243328916d0)
(:INPUT 3.2000000000000015d0 :TARGET -0.05837414342758142d0))
